"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"10721",122.062048851806,1.53586552830409,0.12234358891945,2.05116005322341e-37,4.12980565116002e-33
"8344",642.171402572716,2.22423555355972,0.190006853598187,5.15319416476602e-33,5.18772056566996e-29
"990",77.0057883609202,1.96165675215646,0.173672805546853,5.03921343140263e-31,3.38198410759535e-27
"3429",1552.78596784337,2.59954068882291,0.357111699864378,8.96448789125168e-29,4.51227498006153e-25
"440068",223.561861733108,3.12845145247045,0.292033253575739,2.06104250364017e-28,8.29940595365823e-25
"63967",157.002652034924,1.26813611913207,0.11870469378597,9.36054320915786e-28,3.14108628288641e-24
"9381",401.081233455695,4.19792637911482,0.399611693861292,1.33678757279695e-27,3.84498299867055e-24
"6241",354.570206022522,2.06301828109907,0.195979519537182,2.18042614067606e-27,5.48758748954646e-24
"157313",60.0574285902541,1.83405508025762,0.174117484646044,2.97781266856904e-27,6.66169780766323e-24
"51338",130.499829618883,2.01101972008594,0.198755064464417,2.01907102298876e-25,3.83723036160352e-22
"57545",2636.80984888847,1.63945924350291,0.161873608804796,2.09643061376968e-25,3.83723036160352e-22
"26519",195.548838431672,1.9978126017885,0.199490654345641,5.65546739082678e-25,9.48893170390886e-22
"116369",536.48786105886,2.3072060474953,0.233193162577763,1.85822469035125e-24,2.8779612242717e-21
"200315",4242.73958117122,1.50338572205354,0.151811589943701,2.46224112384055e-24,3.30498418582704e-21
"100913187",4242.73958117122,1.50338572205354,0.151811589943701,2.46224112384055e-24,3.30498418582704e-21
"94240",5977.30246245018,2.31627738745416,0.237193006425829,1.27096194832879e-23,1.59934674172825e-20
"55388",79.7243208464849,1.57845148620597,0.163289192599109,2.81352623076517e-23,3.33220806648388e-20
"3833",73.9031706807212,1.63571463534091,0.170964110067211,4.53380294579031e-23,5.0713104728079e-20
"8335",159.26299170931,1.85637683674315,0.196444795324727,1.19618858460185e-22,1.24980087049197e-19
"219537",288.358732006166,2.52932804851417,0.268001362604746,1.24148293482861e-22,1.24980087049197e-19
"158405",560.279367963759,1.80636093653644,0.192334050677926,2.60141143743002e-22,2.49413418481981e-19
"8345",340.327150627747,1.39231622691798,0.147961128071767,3.04117022509146e-22,2.78322369599961e-19
"8352",361.849436689476,1.88535786468826,0.202959652546951,5.88870220683454e-22,4.79961023068782e-19
"51514",76.7433564739833,1.37274765461841,0.146816633122428,5.9595835783846e-22,4.79961023068782e-19
"387755",32.3720774491035,2.23139232811075,0.239546366162251,5.50039431429517e-22,4.79961023068782e-19
"353345",335.540274878293,1.39752643335891,0.150896929650975,1.23565961119716e-21,9.56875792763212e-19
"390036",261.259942496552,1.30714197877438,0.14138378014586,1.6721055328781e-21,1.24689528885065e-18
"3077",340.526875499061,1.57767758423545,0.171761942945419,2.24478354585642e-21,1.61415971115261e-18
"952",565.765270576388,1.27388139729418,0.138343011718209,2.4341811612287e-21,1.63366011667262e-18
"114905",267.102809471947,1.83500212965645,0.199956054596421,2.36659051829019e-21,1.63366011667262e-18
"1718",109.4879464805,1.14398079181992,0.124017087150181,2.58227969196272e-21,1.67714901025733e-18
"8365",370.11142696294,1.46115890402835,0.15987178085255,4.92947896580233e-21,3.10156654679575e-18
"7280",259.277415217518,-3.44544679567076,0.375356276233947,6.49558992039253e-21,3.96309719567222e-18
"7259",651.922067662406,-0.487927631736275,0.0527039060894761,8.8876543614174e-21,5.1126866546508e-18
"8346",187.370357466206,1.49121273488916,0.165057819983505,8.72931433082446e-21,5.1126866546508e-18
"8360",290.438051332351,1.28618301529334,0.142068440171613,9.79688202852047e-21,5.47917841006198e-18
"79801",79.1052331942912,1.60285130893766,0.178898894667807,1.38254649000729e-20,7.52329487292073e-18
"55314",230.459562090075,1.30468092524548,0.14487583737597,1.58107851303034e-20,8.37721967930339e-18
"2897",154.49280323144,1.02968194972799,0.114253133588511,2.20396089809548e-20,1.13780894159627e-17
"200942",238.50884611935,1.5736489432662,0.175826198386626,2.28390012798335e-20,1.14189073598207e-17
"440689",1194.27560575405,1.15160960511419,0.128217477666938,2.3252965220654e-20,1.14189073598207e-17
"57326",1882.33292070867,-0.851230516702033,0.0939329191932204,2.9901813437484e-20,1.43343598035786e-17
"3018",115.569520363654,1.76913599384855,0.200691773301165,3.92752001709076e-20,1.7971974550933e-17
"55165",53.9457203760678,1.78790956279268,0.202050014858838,3.91027273827618e-20,1.7971974550933e-17
"197135",723.590136730797,0.918790222700908,0.10292372064366,4.63468330991803e-20,2.07366030581977e-17
"84628",1741.4250061967,1.62951070469842,0.184790292470345,6.23811069943397e-20,2.73039393092181e-17
"10533",1233.04214113931,0.630435148010789,0.0701585438054241,6.73980933498383e-20,2.88721959894818e-17
"8342",147.030187833719,1.61244839647545,0.184838677850554,1.37190163399793e-19,5.7545557289405e-17
"26118",5155.62626751204,1.18347496579062,0.135255558953738,1.96190408046415e-19,7.91120923559962e-17
"196410",40.904644894146,3.87027201885271,0.451357980895704,1.96463922608513e-19,7.91120923559962e-17
"84282",382.010655207327,0.989073955538195,0.112746152179762,2.20640717782661e-19,8.71054943497274e-17
"51512",40.6765711359653,1.46098099219085,0.168912611143433,2.77418482497549e-19,1.07414302434724e-16
"4907",136.868202339904,-1.16194121907422,0.133071658397815,3.56465352537332e-19,1.35416479395974e-16
"6768",424.718338926922,1.16299364773079,0.134178802692696,3.84338939153206e-19,1.43301485202049e-16
"3010",78.8253051668223,1.94561632392656,0.227025976712186,4.04021851192383e-19,1.47901380943772e-16
"8356",73.179171941426,1.95843035650242,0.229763206468894,4.38754921835256e-19,1.57748064218412e-16
"9509",167.013862414315,3.68021810727529,0.435458916623083,4.80386133709185e-19,1.69685866949136e-16
